"Client","Mode","RequestType","Concurrency","Duration","ReqPerSec","Latency_Avg","Latency_P50","Latency_P99","RateLimitHits","CPUUsage","MemoryUsage"
"valkey-glide","cluster","heavy",50,150.04,6064837.98,2.04,2.0,3.0,3173724,53.3,13982212.98
"iovalkey","cluster","heavy",50,150.04,5240067.42,2.12,2.0,3.0,2742213,45.59,13815346.08
"ioredis","cluster","heavy",50,150.04,4484765.02,2.84,3.0,4.0,2346830,38.16,13668052.91
"valkey-glide","cluster","heavy",100,150.05,4919439.37,5.31,5.0,11.0,2574200,46.17,15156615.32
"iovalkey","cluster","heavy",100,150.05,4461253.98,5.84,5.0,11.0,2334627,41.12,15218309.47
"ioredis","cluster","heavy",100,150.05,3772364.8,7.12,6.0,12.0,1974062,34.17,14437858.96
"valkey-glide","cluster","heavy",1000,210.29,3332332.5,84.91,71.0,519.0,2441648,35.79,25918067.92
"iovalkey","cluster","heavy",1000,210.26,3168085.03,90.02,82.0,241.0,2321125,34.0,27940975.49
"ioredis","cluster","heavy",1000,210.23,1246590.24,143.87,97.0,1640.0,913144,18.71,28781412.93
"valkey-glide","standalone","heavy",50,150.04,6164561.92,2.01,2.0,3.0,3225896,53.89,14074331.5
"iovalkey","standalone","heavy",50,150.04,5558435.84,2.05,2.0,3.0,2908731,49.84,13995182.12
"ioredis","standalone","heavy",50,150.05,4680253.45,2.33,2.0,4.0,2449174,41.43,13383588.38
"valkey-glide","standalone","heavy",100,150.06,4924549.12,5.21,4.0,11.0,2576997,43.88,15146669.49
"iovalkey","standalone","heavy",100,150.06,4688182.62,5.66,5.0,10.0,2453284,40.98,15041003.45
"ioredis","standalone","heavy",100,150.05,3769507.84,7.1,6.0,12.0,1972625,34.56,15096597.12
"valkey-glide","standalone","heavy",500,210.16,3656168.39,38.6,33.0,113.0,2678727,35.99,20850945.46
"iovalkey","standalone","heavy",500,210.13,1613720.39,62.11,46.0,784.0,1182155,19.15,22249585.54
"ioredis","standalone","heavy",500,210.17,1608894.94,66.28,48.0,794.0,1178439,19.85,22199270.38
"valkey-glide","cluster","light",50,120.04,6213256.54,1.94,2.0,3.0,2602010,54.68,14381590.01
"iovalkey","cluster","light",50,120.04,5143210.67,2.12,2.0,3.0,2153875,45.32,14238739.57
"ioredis","cluster","light",50,120.04,4419174.41,2.95,3.0,4.0,1850681,40.85,14019755.76
"valkey-glide","cluster","light",100,120.05,5278318.94,4.88,4.0,10.0,2210346,47.38,15460629.73
"iovalkey","cluster","light",100,120.05,4374331.74,5.97,5.0,11.0,1831919,39.39,15170920.69
"ioredis","cluster","light",100,120.05,2667095.47,7.71,6.0,14.0,0,30.23,14821680.81
"valkey-glide","cluster","light",1000,180.26,3773605.69,75.22,70.0,150.0,2370428,40.44,28247942.48
"iovalkey","cluster","light",1000,180.21,1474368.63,110.05,86.0,1123.0,925678,20.65,28477028.19
"ioredis","cluster","light",1000,180.33,804388.8,76.21,45.0,872.0,504817,15.23,30998175.93
"valkey-glide","standalone","light",50,120.04,6132224.0,2.03,2.0,3.0,2568093,55.35,14435477.25
"iovalkey","standalone","light",50,120.04,5397708.8,2.07,2.0,3.0,2260529,49.28,14168030.16
"ioredis","standalone","light",50,120.04,4913527.47,2.16,2.0,4.0,2057658,42.81,14074594.39
"valkey-glide","standalone","light",100,120.05,5128115.2,4.96,4.0,10.0,2147600,47.73,15134236.29
"iovalkey","standalone","light",100,120.05,4484761.6,5.91,5.0,11.0,1878015,40.94,15217479.01
"ioredis","standalone","light",100,120.05,4157952.0,6.31,5.0,11.0,1741266,38.73,14935703.21
"valkey-glide","standalone","light",500,180.12,4074507.03,34.67,32.0,66.0,2559351,38.81,21199542.8
"iovalkey","standalone","light",500,180.12,4032107.74,35.05,34.0,47.0,2532009,38.85,21155411.0
"ioredis","standalone","light",500,180.15,2643499.65,53.7,46.0,297.0,1660222,24.98,20310700.59
